96,51,49,84,75,39,9,64,23,89
22,79,21,30,16,89,74,60,62,35
59,74,73,64,1,13,88,41,73,41
3,54,21,77,60,72,34,30,16,54
42,61,56,83,49,39,59,66,13,11
60,88,51,75,80,52,48,53,39,61
71,61,77,99,84,66,29,59,55,20
70,52,59,81,69,8,94,93,44,31
0,69,52,69,62,18,29,59,59,83
60,87,76,60,64,6,64,79,91,66
36,7,90,53,92,37,29,10,95,57
64,70,82,19,7,14,74,42,17,16
65,46,6,42,47,41,30,6,58,83
99,59,26,5,58,99,47,74,91,46
45,24,53,6,13,76,74,65,96,85
58,22,34,95,48,98,1,68,17,79
6,19,22,45,46,17,43,64,9,96
50,93,32,21,57,57,53,73,52,56
51,13,28,38,85,23,75,19,55,66
5,38,22,15,24,64,92,11,32,33
98,52,3,29,70,4,97,13,10,21
36,30,53,53,36,93,44,39,62,6
24,44,25,24,78,63,81,84,27,15
64,47,68,62,38,23,31,77,50,9
64,75,65,28,69,59,65,46,48,11
67,90,74,44,94,59,31,69,3,37
26,98,39,99,40,68,76,63,30,48
36,42,7,35,83,40,39,1,18,68
36,66,91,55,27,4,2,80,54,1
39,59,90,69,75,69,86,80,5,30
99,46,15,61,35,54,49,96,58,99
83,78,49,55,95,78,90,6,66,37
99,63,30,28,85,20,93,73,14,39
75,31,22,91,10,84,84,72,25,8
8,40,6,89,50,64,93,43,89,99
2,54,40,29,58,20,54,86,76,80
9,94,25,63,28,69,95,72,95,56
27,54,77,89,4,75,48,47,29,73
56,59,51,96,22,64,29,24,27,50
95,60,57,83,87,85,82,40,42,91
12,29,97,22,69,97,7,35,52,38
12,47,86,19,79,91,55,16,89,37
91,26,41,54,53,62,26,58,10,71
1,69,79,7,80,20,52,41,40,44
78,30,99,77,16,95,52,5,17,26
98,2,26,73,32,15,37,12,66,25
31,74,65,85,36,98,67,10,29,97
54,61,10,96,6,73,36,51,32,64
92,34,95,48,47,59,45,19,39,64
83,76,16,55,58,69,54,64,30,49
22,7,2,66,7,50,11,9,38,21
0,51,44,49,97,35,4,78,68,9
97,28,17,30,32,10,11,42,57,48
74,10,72,35,56,21,72,31,66,72
32,6,23,56,51,16,18,9,31,76
92,21,9,22,53,8,2,25,40,62
5,1,99,32,42,5,60,40,26,7
82,59,41,84,31,15,95,82,76,79
47,31,30,0,54,45,41,52,17,59
70,92,37,8,43,40,63,65,64,83
98,25,44,56,2,59,33,57,21,11
51,24,7,50,82,54,98,16,45,64
12,61,67,16,57,35,64,24,61,5
98,22,35,20,87,47,5,34,89,8
32,13,20,31,89,84,58,69,78,12
91,54,17,28,25,35,86,58,13,11
55,45,23,44,67,16,22,88,19,10
76,55,2,20,1,91,57,37,74,43
43,91,29,83,91,85,27,97,12,60
56,72,43,33,35,31,45,59,48,32
96,78,24,34,13,76,43,29,37,21
65,82,91,23,24,48,90,30,18,17
35,16,29,23,37,84,13,59,30,10
4,41,46,50,16,51,66,27,33,12
28,98,1,85,44,78,68,92,41,68
71,85,58,95,63,74,69,7,71,57
90,78,27,70,65,27,94,83,31,5
62,24,62,69,94,74,88,41,23,4
65,17,15,46,58,1,80,4,11,21
98,1,34,81,0,92,5,79,85,44
45,31,89,19,7,71,70,79,79,84
70,17,70,18,5,74,17,93,72,17
56,41,80,78,73,42,64,76,19,12
13,19,53,78,59,66,21,64,31,78
3,75,2,13,34,0,62,12,75,74
