7,10,75,76,36,49,30,53,61,51
39,41,20,86,84,16,42,47,12,42
20,96,41,94,1,84,6,4,71,77
87,46,29,24,98,82,55,42,39,16
77,44,7,91,52,85,6,3,54,97
47,28,10,11,3,8,71,66,50,32
72,89,70,88,54,25,63,88,94,96
96,83,37,21,18,50,19,90,45,8
43,41,95,47,37,30,88,43,67,67
51,32,88,30,43,31,94,15,74,59
7,33,32,24,81,3,79,45,95,8
90,71,68,80,0,39,96,51,58,63
85,80,10,25,70,1,0,88,99,18
70,36,53,82,29,75,56,8,35,90
41,90,12,23,13,66,71,67,62,21
73,28,17,18,81,6,7,17,1,92
24,12,25,13,66,82,64,26,36,7
94,1,78,0,54,48,32,86,35,63
18,17,62,92,64,28,60,6,89,5
40,37,13,19,98,86,28,79,55,11
54,50,96,46,84,47,9,81,80,84
80,57,33,67,86,80,8,88,83,39
0,31,53,47,48,74,91,33,44,93
85,99,60,60,1,37,70,27,66,58
36,39,19,69,54,53,5,99,40,39
98,8,47,22,41,0,23,96,52,37
90,57,27,32,91,14,46,84,41,3
33,74,2,53,18,19,5,98,55,74
18,21,39,67,94,34,27,46,15,33
82,85,17,78,24,4,10,88,36,10
30,30,71,15,84,60,21,18,53,75
78,83,59,80,69,79,6,85,99,89
33,63,91,6,28,97,98,66,25,79
18,89,58,8,15,70,72,75,23,30
45,47,80,50,39,44,90,65,24,16
12,74,35,97,5,19,14,69,91,72
18,51,93,4,0,1,28,60,9,83
58,92,7,41,66,30,23,30,66,9
63,78,6,50,15,70,29,23,65,1
23,78,74,27,81,55,47,43,49,87
86,61,92,91,38,17,19,42,7,69
3,91,77,92,4,10,4,95,43,28
67,89,93,79,64,63,64,46,75,53
54,58,99,40,2,96,20,69,27,42
59,23,98,75,19,59,56,78,17,30
89,66,87,26,32,23,72,61,81,33
69,73,73,5,8,10,40,3,17,32
94,70,91,66,85,33,31,13,0,26
64,85,27,48,92,53,12,33,80,18
79,14,58,50,98,18,63,52,96,65
84,89,16,87,25,46,45,0,67,45
28,39,99,27,78,83,67,99,2,3
33,96,18,7,63,78,30,89,56,6
33,66,65,87,78,36,59,7,8,2
2,90,17,44,80,32,55,97,94,33
39,98,97,31,19,48,40,69,96,22
94,72,44,44,39,34,95,44,48,72
28,9,12,71,6,59,4,62,18,64
9,54,28,29,82,69,38,22,4,22
49,11,97,46,43,71,24,46,41,6
25,21,77,65,80,16,38,33,99,28
3,4,43,73,23,58,16,50,56,77
48,59,40,94,82,99,43,5,21,8
57,66,75,73,15,89,48,54,79,57
62,96,1,22,73,43,9,37,64,47
59,11,10,38,56,2,77,91,98,96
92,90,91,65,87,29,17,74,73,61
13,69,37,53,13,71,24,80,30,80
94,47,70,70,96,45,68,98,15,12
27,2,20,66,71,81,60,44,50,18
57,78,39,27,29,25,19,17,86,71
6,35,50,96,28,89,0,39,32,0
29,96,11,76,68,78,54,96,70,67
20,61,84,55,95,67,90,18,81,18
81,47,38,5,35,85,47,98,53,19
84,15,58,14,5,97,62,48,47,53
13,23,29,54,11,75,93,5,56,11
73,86,55,88,45,65,83,78,96,63
47,81,58,13,41,46,98,59,80,22
48,67,7,19,91,60,1,76,22,66
37,13,47,67,14,32,42,99,56,48
84,2,26,27,4,52,84,25,77,66
55,33,73,35,31,55,91,4,42,49
6,1,50,81,81,12,92,59,38,25
84,1,49,8,91,52,70,95,14,52
37,32,12,96,11,17,16,9,57,74
54,71,60,79,35,84,22,1,95,91
72,29,50,17,41,33,37,40,37,95
29,21,89,30,60,43,26,15,58,35
96,56,40,55,21,74,40,64,66,25
58,70,23,11,38,50,3,99,84,39
92,65,96,8,81,51,54,58,40,56
72,11,18,69,5,20,31,76,34,83
35,5,93,51,21,24,11,28,89,34
64,96,11,82,82,54,5,48,81,21
9,93,61,38,8,69,67,50,53,64
56,77,62,30,56,73,65,35,31,68
45,70,67,67,44,86,59,92,28,54
99,53,64,28,35,37,46,70,86,26
34,8,48,90,4,16,50,74,3,19
44,46,33,49,65,9,95,55,56,27
1,12,3,91,54,39,65,2,31,27
74,43,26,29,59,37,55,24,59,91
74,31,58,31,74,9,26,15,71,65
54,99,9,31,57,31,31,24,53,85
47,63,20,64,64,22,77,46,5,61
21,55,35,67,18,80,23,25,11,25
64,58,89,90,54,27,53,78,19,7
59,47,68,89,19,30,69,19,75,2
33,44,57,20,62,60,49,0,49,59
60,16,93,85,7,11,21,24,43,1
34,85,43,64,50,84,87,52,83,61
37,41,12,30,8,95,18,54,83,61
36,98,13,93,30,18,20,19,58,14
23,61,14,19,91,29,9,75,16,7
85,24,15,7,41,17,96,94,14,48
53,71,95,9,21,9,34,20,89,20
94,16,50,85,29,1,80,91,81,32
99,34,56,41,34,25,19,0,33,85
58,56,55,85,17,41,22,26,89,18
9,98,94,58,52,20,71,63,23,7
37,22,39,6,79,72,44,89,75,21
89,4,83,21,88,84,30,39,65,82
75,28,84,91,95,90,16,74,57,19
81,92,21,15,92,94,14,20,49,17
12,2,10,1,32,9,39,50,4,66
31,1,70,5,13,4,35,98,10,71
32,13,34,59,77,40,90,40,65,68
58,0,0,71,46,68,31,51,32,80
18,94,80,62,46,43,13,55,75,12
73,68,42,83,63,23,82,37,44,49
51,41,93,72,52,65,16,91,56,31
50,49,55,82,4,2,75,57,92,55
70,8,61,73,38,50,86,90,9,11
88,23,79,72,19,13,59,31,66,60
49,3,30,40,27,12,12,67,6,86
15,16,63,58,82,78,98,84,68,25
94,18,14,11,88,8,62,51,59,25
95,27,85,39,17,27,54,18,3,45
18,24,6,32,8,98,44,24,36,98
97,35,40,37,92,48,87,3,15,6
89,93,24,80,0,99,84,18,42,46
52,3,89,93,85,20,75,71,86,11
7,35,29,28,0,42,85,39,38,69
59,44,70,11,51,65,15,85,27,50
44,34,49,7,60,98,99,66,38,7
62,48,81,93,72,40,1,98,18,61
63,66,14,0,6,99,91,8,5,45
49,34,19,67,73,96,49,20,4,72
67,27,42,62,49,47,2,86,37,37
56,20,59,75,33,51,39,55,34,28
74,24,95,23,74,44,81,23,63,39
20,32,51,47,30,91,99,98,64,54
60,42,54,66,42,98,92,84,44,34
76,88,75,90,10,51,39,8,9,98
61,74,20,11,76,1,88,43,25,15
74,12,52,65,49,26,24,12,29,70
11,94,7,89,98,11,94,56,86,43
84,24,56,70,14,54,51,65,6,1
70,66,71,44,78,14,51,96,84,80
36,74,33,74,59,51,20,7,53,64
26,98,85,43,90,22,77,28,47,25
62,54,92,61,64,61,58,37,20,71
1,72,18,7,39,28,41,55,19,19
3,95,1,62,60,74,50,63,15,44
74,38,48,72,61,74,72,24,78,36
68,1,42,34,48,43,75,74,62,98
7,0,86,30,24,34,21,88,86,86
59,93,16,77,40,85,5,35,41,21
84,61,36,13,23,25,57,41,6,2
33,46,88,48,85,5,63,4,82,50
66,86,46,60,72,57,14,6,1,48
92,57,4,0,49,39,43,81,99,32
35,68,37,10,27,80,42,36,89,82
42,65,73,71,96,92,37,68,80,45
53,11,54,40,9,58,67,68,51,85
13,54,64,83,26,17,74,0,11,88
44,52,38,48,72,50,78,67,24,24
0,21,46,37,65,43,74,5,72,25
89,13,16,29,66,61,33,61,96,74
23,80,13,48,67,79,27,57,70,31
73,48,58,89,6,42,21,47,60,24
32,43,14,98,41,9,32,99,5,96
80,42,94,43,64,93,37,46,33,56
18,88,93,61,61,34,89,48,21,11
24,65,17,19,0,33,76,25,38,17
64,23,42,78,49,18,47,54,60,68
47,47,4,85,92,25,52,65,76,30
99,28,99,38,80,58,19,46,62,55
41,1,25,8,24,71,25,56,55,18
90,51,82,10,90,41,18,51,26,21
78,14,97,10,39,37,97,40,45,23
78,72,56,96,99,57,3,4,37,1
12,39,40,35,0,56,98,73,5,45
63,69,5,64,81,3,22,94,20,45
34,19,20,50,49,37,24,92,50,66
78,28,40,87,31,38,49,29,90,69
19,37,93,61,22,46,89,4,31,13
77,16,30,11,60,61,19,92,26,77
